name,protein,fat,carbohydrates,kilocalories,calcium,vitamins
apple pie,1.77,15.0,54.0,354.0,0.0,0.0
baby back ribs,18.8,9.82,0.0,170.0,0.026,0.0
baklava,6.6,29.0,37.8,433.0,0.041,0.0013
beef carpaccio,5.0,65.0,10.0,600.0,0.0,0.0013
beef tartare,17.4,15.6,0.34,216.0,0.028,0.0002
beet salad,1.32,5.29,11.0,93.0,0.018,0.4542
beignets,5.46,20.2,53.7,417.0,0.09,0.44210000000000005
bibimbap,5.51,2.92,8.18,81.0,0.025,0.4515
bread pudding,4.04,4.55,42.4,222.0,0,0.4515
breakfast burrito,8.13,7.77,26.2,198.0,0.007,0.5342
bruschetta,4.29,7.61,21.3,171.0,0.05,0.5378999999999999
caesar salad,5.91,15.8,7.48,189.0,0.157,4.1465
cannoli,6.32,14.7,42.1,328.0,0.021,0.0
caprese salad,5.76,10.5,9.42,152.0,0.079,0.0
carrot cake,2.35,25.9,47.1,424.0,0.024,1.47
ceviche,10.5,0.76,3.58,63.0,0.022,1.4886
cheese plate,6.46,11.5,15.6,192.0,0.146,0.2726
cheesecake,7.02,19.3,36.8,351.0,0.035,0.0
chicken curry,6.47,6.45,6.47,106.0,0.02,0.0086
chicken quesadilla,14.2,10.6,22.1,239.0,0.221,0.2661
chicken wings,18.6,18.6,0.0,283.0,0.0,0.0
chocolate cake,3.03,22.7,57.6,439.0,0.03,0.0
chocolate mousse,1.19,23.8,19.0,269.0,0.036,0.0007
churros,6.05,22.2,48.9,419.0,0.11,0.0012
clam chowder,3.67,8.57,6.53,118.0,0.041,0.4117
club sandwich,16.0,7.65,21.4,220.0,0.079,0.4081
crab cakes,14.2,16.8,7.08,239.0,0.111,0.4081
creme brulee,4.06,2.83,17.8,113.0,0.115,0.408
croque madame,15.0,7.5,70.0,375.0,0.0,0.0
cup cakes,2.22,13.3,60.0,356.0,0.222,0.0
deviled eggs,10.7,25.0,0.0,286.0,0.0,0.714
donuts,3.51,17.5,61.4,404.0,0.175,0.0
dumplings,9.21,1.97,23.7,145.0,0.026,0.2693
edamame,11.8,4.71,7.06,106.0,0.059,0.2693
eggs benedict,13.8,22.1,8.48,288.0,0.058,0.26439999999999997
escargots,20.0,6.91,2.48,158.0,0.013,0.263
falafel,8.28,41.2,29.0,514.0,0.086,0.2703
filet mignon,15.2,15.2,0.0,196.0,0.0,0.089
fish and_chips,11.0,16.2,21.7,277.0,0.016,0.018
foie gras,8.93,35.7,3.57,357.0,0.0,13.4
french fries,2.38,8.33,22.6,179.0,0.0,0.0029
french onion soup,4.21,3.51,6.32,70.0,0.088,0.1421
french toast,7.02,3.51,28.1,175.0,0.058,0.1421
fried calamari,13.8,13.2,14.1,234.0,0.039,0.1429
fried rice,3.33,5.0,31.7,183.0,0.0,0.0
frozen yogurt,3.12,8.33,21.9,177.0,0.104,0.417
garlic bread,8.77,14.0,45.6,351.0,0.018,0.417
gnocchi,3.33,0.0,33.3,150.0,0.0,0.001
greek salad,1.88,4.7,4.08,66.0,0.031,4.0838
grilled cheese sandwich,11.5,12.8,31.4,288.0,0.224,0.0698
grilled salmon,18.1,3.45,0.86,103.0,0.034,0.087
guacamole,3.33,10.0,13.3,143.0,0.033,0.0927
gyoza,3.33,0.0,33.3,133.0,0,0.0927
hamburger,3.53,3.53,41.2,212.0,0.0,0.0
hot and sour soup,2.58,1.21,4.35,39.0,0.019,0.0
hot dog,19.3,14.0,1.75,211.0,0.035,0.2651
huevos rancheros,6.68,6.65,8.85,121.0,0.044,0.264
hummus,10.7,12.5,25.0,250.0,0.071,0.26730000000000004
ice cream,3.08,10.8,24.6,200.0,0.123,0.308
lasagna,5.53,4.15,10.1,101.0,0.092,0.31489999999999996
lobster bisque,5.23,2.61,1.69,52.0,0.053,0.3093
lobster roll sandwich,20.9,0.95,0.0,97.0,0.106,0.308
macaroni and cheese,5.73,2.2,14.1,101.0,0.097,0.308
macarons,10.0,23.3,53.3,467.0,0.083,0.308
miso soup,1.92,0.8,2.08,26.0,0.027,0.308
mussels,15.1,2.84,4.67,109.0,0.033,0.31610000000000005
